phrase,count,source,seed,cluster,intent,intent_label,service_fit,priority
я хочу,3386375,similar,обработка входящих заявок,support,irrelevant,Нерелевантный (шум),skip,P0-skip
все включено,1155988,similar,обработка входящих заявок,support,irrelevant,Нерелевантный (шум),skip,P0-skip
включи мне,570925,similar,обработка входящих заявок,support,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс 24,299167,similar,bitrix24 ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
купить автомат,216230,similar,автоматизация отдела продаж,automation-sales,informational,Информационный,blog,P4-blog
я хочу так хочу,185997,similar,обработка входящих заявок,support,irrelevant,Нерелевантный (шум),skip,P0-skip
купить робота,149113,similar,автоматизация отдела продаж,automation-sales,informational,Информационный,blog,P4-blog
робот купить,149113,similar,автоматизация отдела продаж,automation-sales,informational,Информационный,blog,P4-blog
битрикс 24 вход,130035,similar,bitrix24 ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
включи пожалуйста,129941,similar,обработка входящих заявок,support,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс24,110036,similar,bitrix24 ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
кто хочет стать миллионером,104646,similar,генерация коммерческих предложений,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
было было было но прошло,66658,similar,обработка входящих заявок,support,irrelevant,Нерелевантный (шум),skip,P0-skip
я хочу нет я хочу,62939,similar,обработка входящих заявок,support,irrelevant,Нерелевантный (шум),skip,P0-skip
купить кассу,56895,similar,заказать автоматизацию бизнеса,automation-processes,irrelevant,Нерелевантный (шум),skip,P0-skip
программы купить,40567,similar,заказать автоматизацию бизнеса,automation-processes,irrelevant,Нерелевантный (шум),skip,P0-skip
вводной автомат,37030,similar,автоматизация кп,other,informational,Информационный,blog,P4-blog
торговый автомат,36231,similar,автоматизация бизнеса под ключ,automation-processes,informational,Информационный,blog,P4-blog
эдо это,35414,similar,автоматизация документооборота,automation-documents,irrelevant,Нерелевантный (шум),skip,P0-skip
1c ru,30742,similar,ai для 1с,other,irrelevant,Нерелевантный (шум),skip,P0-skip
асу это,30038,similar,автоматизация документооборота,automation-documents,irrelevant,Нерелевантный (шум),skip,P0-skip
учетная запись это,28958,similar,автоматизация обработки заявок,support,irrelevant,Нерелевантный (шум),skip,P0-skip
дай мне посмотреть,28208,similar,обработка входящих заявок,support,irrelevant,Нерелевантный (шум),skip,P0-skip
иду на вы,27959,similar,обработка входящих заявок,support,irrelevant,Нерелевантный (шум),skip,P0-skip
интеграция это,27742,similar,внедрение битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс24 вход,27613,similar,bitrix24 ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
automation,26753,similar,автоматизация кп,other,irrelevant,Нерелевантный (шум),skip,P0-skip
мавр сделал свое дело,25081,similar,разработка ии для бизнеса,other,irrelevant,Нерелевантный (шум),skip,P0-skip
как сделать автомат,24481,similar,автоматизация бизнеса под ключ,automation-processes,informational,Информационный,blog,P4-blog
bitrix24 ru,21491,similar,внедрение битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
купить проект,21649,similar,заказать автоматизацию бизнеса,automation-processes,irrelevant,Нерелевантный (шум),skip,P0-skip
включай нашу,20086,similar,обработка входящих заявок,support,irrelevant,Нерелевантный (шум),skip,P0-skip
у тебя все получится,19231,similar,обработка входящих заявок,support,irrelevant,Нерелевантный (шум),skip,P0-skip
автомойка купить,17490,similar,заказать автоматизацию бизнеса,automation-processes,irrelevant,Нерелевантный (шум),skip,P0-skip
the business,16540,similar,разработка ии для бизнеса,other,irrelevant,Нерелевантный (шум),skip,P0-skip
эдо что это,16203,similar,автоматизация документооборота,automation-documents,irrelevant,Нерелевантный (шум),skip,P0-skip
электронный документ это,15681,similar,автоматизация документооборота,automation-documents,commercial_medium,Коммерческий (средний),business-process-automation,P2-landing/ads
мирена цена,14563,similar,стоимость внедрения ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
техническая эксплуатация и сопровождение информационных систем,14562,similar,внедрение автоматизации документооборота,other,irrelevant,Нерелевантный (шум),skip,P0-skip
маркетплейс тарифов,14544,similar,стоимость внедрения ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс это,13777,similar,внедрение битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
менеджер по закупкам,13476,similar,автоматизация отдела продаж,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
a business,13456,similar,разработка ии для бизнеса,other,irrelevant,Нерелевантный (шум),skip,P0-skip
сколько стоит поставить машину на учет,11784,similar,стоимость внедрения ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
себестоимость продаж,10141,similar,стоимость внедрения ии,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P1-landing
вендинговый автомат,11021,similar,автоматизация бизнеса под ключ,automation-processes,informational,Информационный,blog,P4-blog
не удается установить соединение с сайтом,11003,similar,внедрение битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
диадок войти,10048,similar,автоматизация документооборота,automation-documents,irrelevant,Нерелевантный (шум),skip,P0-skip
b2b продажи,9211,similar,заказать автоматизацию бизнеса,automation-processes,commercial_medium,Коммерческий (средний),business-process-automation,P2-landing/ads
бизнес процесс это,9218,similar,автоматизация коммерческих предложений,automation-sales,informational,Информационный,blog,P4-blog
оп давай давай,9312,similar,обработка входящих заявок,support,irrelevant,Нерелевантный (шум),skip,P0-skip
коммерция это,9299,similar,генерация коммерческих предложений,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
цена признания,8738,similar,стоимость внедрения ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
ооо автоматика,8353,similar,автоматизация бизнеса под ключ,automation-processes,informational,Информационный,blog,P4-blog
битрикс что это,8376,similar,внедрение битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
система эдо,7906,similar,автоматизация документооборота,automation-documents,irrelevant,Нерелевантный (шум),skip,P0-skip
миллионер это,7215,similar,генерация коммерческих предложений,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс 24 что,7141,similar,bitrix24 ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
заявление о приеме на работу образец,6332,similar,автоматизация обработки заявок,support,commercial_medium,Коммерческий (средний),enterprise-ai-assistant,P2-landing/ads
сэд дело,6724,similar,автоматизация документооборота,automation-documents,irrelevant,Нерелевантный (шум),skip,P0-skip
releases 1c,5862,similar,ai для 1с,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
временный трудовой договор,6336,similar,автоматизация работы с документами,automation-documents,irrelevant,Нерелевантный (шум),skip,P0-skip
дан да дан смотреть,6300,similar,обработка входящих заявок,support,irrelevant,Нерелевантный (шум),skip,P0-skip
portal 1c,6060,similar,ai для 1с,other,irrelevant,Нерелевантный (шум),skip,P0-skip
сколько стоит поставить имплант,6047,similar,стоимость внедрения ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс 24 это,5990,similar,bitrix24 ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
интеграция что это,5778,similar,внедрение ии в бизнес,ai-corporate,irrelevant,Нерелевантный (шум),skip,P0-skip
диадок что это,5605,similar,автоматизация документооборота,automation-documents,irrelevant,Нерелевантный (шум),skip,P0-skip
как поставить свой автоответчик,5569,similar,внедрение автоматизации документооборота,other,irrelevant,Нерелевантный (шум),skip,P0-skip
кадровый документооборот,4860,similar,автоматизация работы с документами,automation-documents,commercial_medium,Коммерческий (средний),business-process-automation,P2-landing/ads
битрикс войти,5359,similar,внедрение битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
написать разработчикам,4335,similar,разработка ии для бизнеса,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P1-landing
сэд это,5331,similar,автоматизация документооборота,automation-documents,irrelevant,Нерелевантный (шум),skip,P0-skip
купи продай бесплатные,5310,similar,автоматизация отдела продаж,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
ооо интеграция,4775,similar,внедрение ии в бизнес,ai-corporate,commercial_medium,Коммерческий (средний),enterprise-ai-assistant,P2-landing/ads
1c это,4766,similar,ai для 1с,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
нпо автоматики,5047,similar,автоматизация кп,other,informational,Информационный,blog,P4-blog
сколько стоит поставить коронку,4989,similar,стоимость внедрения ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
сколько стоит поменять фамилию,4759,similar,стоимость внедрения ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
сколько стоит поставить пломбу,4616,similar,стоимость внедрения ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
кто хочет стать миллионером смотреть,4602,similar,генерация коммерческих предложений,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс 24 что это,4513,similar,bitrix24 ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
1с управление нашей фирмой,3907,similar,автоматизация бизнеса под ключ,automation-processes,commercial_medium,Коммерческий (средний),business-process-automation,P2-landing/ads
bitrix 24,3829,similar,bitrix24 ии,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
чем отличается робот от автомата,4053,similar,автоматизация коммерческих предложений,automation-sales,informational,Информационный,blog,P4-blog
чем отличается автомат от робота,4053,similar,автоматизация коммерческих предложений,automation-sales,informational,Информационный,blog,P4-blog
вендинговый аппарат купить,4124,similar,заказать автоматизацию бизнеса,automation-processes,irrelevant,Нерелевантный (шум),skip,P0-skip
промавтоматика,3990,similar,автоматизация кп,other,informational,Информационный,blog,P4-blog
что такое битрикс,3989,similar,внедрение битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
под система купить,3961,similar,автоматизация отдела продаж,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
its 1c ru,3937,similar,ai для 1с,other,irrelevant,Нерелевантный (шум),skip,P0-skip
асу тп это,3923,similar,автоматизация кп,other,irrelevant,Нерелевантный (шум),skip,P0-skip
программа битрикс,3907,similar,bitrix24 автоматизация,bitrix24,irrelevant,Нерелевантный (шум),skip,P0-skip
сколько стоит поменять права,3890,similar,стоимость внедрения ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
сфера заказ,3888,similar,обработка входящих заявок,support,irrelevant,Нерелевантный (шум),skip,P0-skip
система управления заказами озон,3879,similar,автоматизация отдела продаж,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
купи продай бесплатные объявления,3793,similar,автоматизация отдела продаж,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
система управления заказами пвз,3784,similar,автоматизация отдела продаж,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
т2 бизнес,3419,similar,генерация коммерческих предложений,automation-sales,informational,Информационный,blog,P4-blog
либерализация цен,3493,similar,стоимость внедрения ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
войти в битрикс,3368,similar,внедрение битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
ни дать ни взять,3270,similar,обработка входящих заявок,support,irrelevant,Нерелевантный (шум),skip,P0-skip
давай за них давай за нас,3206,similar,обработка входящих заявок,support,irrelevant,Нерелевантный (шум),skip,P0-skip
администратор заблокировал выполнение этого приложения,3063,similar,автоматизация обработки заявок,support,irrelevant,Нерелевантный (шум),skip,P0-skip
электротехника и автоматика,2884,similar,автоматизация кп,other,informational,Информационный,blog,P4-blog
текон автоматика,2854,similar,автоматизация кп,other,informational,Информационный,blog,P4-blog
автоматика сервис,2846,similar,автоматизация бизнеса под ключ,automation-processes,informational,Информационный,blog,P4-blog
1c что это,2441,similar,ai для 1с,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
как открыть свой магазин,2886,similar,автоматизация бизнеса под ключ,automation-processes,irrelevant,Нерелевантный (шум),skip,P0-skip
концерн автоматика,2678,similar,автоматизация кп,other,informational,Информационный,blog,P4-blog
portal 1c ru,2775,similar,ai для 1с,other,irrelevant,Нерелевантный (шум),skip,P0-skip
какими ценниками оформляются стеллажи промо распродажа,1729,similar,стоимость внедрения ии,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P1-landing
битрикс24 это,2718,similar,bitrix24 ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс срм,2662,similar,bitrix24 автоматизация,bitrix24,irrelevant,Нерелевантный (шум),skip,P0-skip
crm для продаж,2105,similar,заказать автоматизацию бизнеса,automation-processes,commercial_medium,Коммерческий (средний),business-process-automation,P2-landing/ads
коммерция по отраслям,2561,similar,генерация коммерческих предложений,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
эдо что это такое,2554,similar,внедрение автоматизации документооборота,other,irrelevant,Нерелевантный (шум),skip,P0-skip
битрекс,2417,similar,внедрение битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
v8 1c ru,2391,similar,ai для 1с,other,irrelevant,Нерелевантный (шум),skip,P0-skip
вендинг это,2389,similar,автоматизация коммерческих предложений,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
какая компания первой выпустила виртуального ассистента,1340,similar,аи для 1с,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P1-landing
business studio,2340,similar,разработка ии для бизнеса,other,irrelevant,Нерелевантный (шум),skip,P0-skip
центр раскрытия корпоративной информации,1313,similar,внедрение ии в бизнес,ai-corporate,commercial_high,Коммерческий (высокий),enterprise-ai-assistant,P1-landing
сколько стоит поставить виниры,2306,similar,стоимость внедрения ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
коммерция что это,2286,similar,генерация коммерческих предложений,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
как поставить электронную подпись на документ,2155,similar,внедрение автоматизации документооборота,other,informational,Информационный,blog,P4-blog
система завуч,2184,similar,внедрение автоматизации документооборота,other,irrelevant,Нерелевантный (шум),skip,P0-skip
users v8 1c ru,2177,similar,ai для 1с,other,irrelevant,Нерелевантный (шум),skip,P0-skip
радиус автоматика,2058,similar,автоматизация кп,other,informational,Информационный,blog,P4-blog
автоматизация документооборота,1592,popular,автоматизация документооборота,automation-documents,commercial_medium,Коммерческий (средний),business-process-automation,P2-landing/ads
кто ведет кто хочет стать миллионером,2085,similar,генерация коммерческих предложений,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
embedded разработчик,1003,similar,разработка ии для бизнеса,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P1-landing
сэд что это,1967,similar,автоматизация документооборота,automation-documents,irrelevant,Нерелевантный (шум),skip,P0-skip
как сделать автоматическое содержание,1819,similar,автоматизация кп,other,informational,Информационный,blog,P4-blog
сколько стоит поставить спираль,1882,similar,стоимость внедрения ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
kaspersky endpoint security для бизнеса,1770,similar,аи для 1с,other,informational,Информационный,blog,P4-blog
битрикс 24 войти,1852,similar,bitrix24 ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
бишоп срм,1847,similar,интеграция 1с crm,1c,irrelevant,Нерелевантный (шум),skip,P0-skip
битрикс24 что это,1796,similar,bitrix24 ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
внедрение ии в бизнес,779,popular,внедрение ии в бизнес,ai-corporate,commercial_high,Коммерческий (высокий),enterprise-ai-assistant,P1-landing
что такое сэд,1761,similar,автоматизация документооборота,automation-documents,irrelevant,Нерелевантный (шум),skip,P0-skip
business development,1666,similar,разработка ии для бизнеса,other,irrelevant,Нерелевантный (шум),skip,P0-skip
baza магазин техники,1644,similar,автоматизация отдела продаж,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
этрн внедрение,602,similar,интеграция ии с 1с,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P1-landing
заполнение табеля учета рабочего времени,1601,similar,автоматизация работы с документами,automation-documents,irrelevant,Нерелевантный (шум),skip,P0-skip
bitrix24 это,1099,similar,внедрение битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
как ездить на автомате для начинающих,1472,similar,автоматизация бизнеса под ключ,automation-processes,informational,Информационный,blog,P4-blog
внедрение битрикс24,550,popular,внедрение битрикс24,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P1-landing
торговое дело кем работать после колледжа,1424,similar,внедрение ии в бизнес,ai-corporate,informational,Информационный,blog,P4-blog
программа битрикс 24,1470,similar,bitrix24 автоматизация,bitrix24,irrelevant,Нерелевантный (шум),skip,P0-skip
сэдо что это,1448,similar,автоматизация документооборота,automation-documents,irrelevant,Нерелевантный (шум),skip,P0-skip
что такое битрикс 24,1426,similar,bitrix24 ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
как сделать автоматическое содержание в ворде,1319,similar,автоматизация работы с документами,automation-documents,informational,Информационный,blog,P4-blog
бишоп срм недвижимость,1415,similar,интеграция 1с crm,1c,irrelevant,Нерелевантный (шум),skip,P0-skip
создание систем искусственного интеллекта взаимодействие с разработчиками,356,similar,внедрение битрикс24,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P1-landing
https its 1c ru,1340,similar,ai для 1с,other,irrelevant,Нерелевантный (шум),skip,P0-skip
пко интеграл,1336,similar,интеграция ии с 1с,other,irrelevant,Нерелевантный (шум),skip,P0-skip
унифицированный прием это,1322,similar,автоматизация обработки заявок,support,irrelevant,Нерелевантный (шум),skip,P0-skip
да что мне дали эти ваши деньги,1320,similar,обработка входящих заявок,support,irrelevant,Нерелевантный (шум),skip,P0-skip
справка что сотрудник работает в организации образец,807,similar,автоматизация работы с документами,automation-documents,commercial_medium,Коммерческий (средний),business-process-automation,P2-landing/ads
невозможно установить безопасное соединение по гост,1300,similar,внедрение битрикс24,other,irrelevant,Нерелевантный (шум),skip,P0-skip
а что мне дали эти ваши деньги,1267,similar,обработка входящих заявок,support,irrelevant,Нерелевантный (шум),skip,P0-skip
внедрение ии в бизнес процессы,247,popular,внедрение ии в бизнес,ai-corporate,commercial_high,Коммерческий (высокий),enterprise-ai-assistant,P1-landing
этапы продаж менеджера по продажам,742,similar,стоимость внедрения ии,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
bitrix24 что это,715,similar,внедрение битрикс24,other,commercial_medium,Коммерческий (средний),ai-discovery-roadmap,P2-landing/ads
сколько стоит поставить элайнеры,1206,similar,стоимость внедрения ии,other,irrelevant,Нерелевантный (шум),skip,P0-skip
асу тп что это,1193,similar,автоматизация коммерческих предложений,automation-sales,irrelevant,Нерелевантный (шум),skip,P0-skip
внедрение ии стоимость,182,popular,стоимость внедрения ии,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P1-landing
улучшить свой запрос фильтры,1182,similar,автоматизация обработки заявок,support,irrelevant,Нерелевантный (шум),skip,P0-skip
ниеншанц автоматика,1081,similar,автоматизация кп,other,informational,Информационный,blog,P4-blog
разработка ии для бизнеса,160,popular,разработка ии для бизнеса,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P2-landing/ads
releases 1c ru,1165,similar,ai для 1с,other,irrelevant,Нерелевантный (шум),skip,P0-skip
бриз болид схема подключения,659,similar,интеграция 1с crm,1c,commercial_medium,Коммерческий (средний),business-process-automation,P2-landing/ads
система автоматизации документооборота,622,popular,автоматизация документооборота,automation-documents,commercial_medium,Коммерческий (средний),business-process-automation,P2-landing/ads
внедрение автоматизации документооборота,94,popular,автоматизация документооборота,automation-documents,commercial_high,Коммерческий (высокий),business-process-automation,P2-landing/ads
что такое асу тп,1101,similar,внедрение автоматизации документооборота,other,irrelevant,Нерелевантный (шум),skip,P0-skip
ао концерн автоматика,994,similar,автоматизация кп,other,informational,Информационный,blog,P4-blog
ведомость смонтированного оборудования,1089,similar,внедрение автоматизации документооборота,other,irrelevant,Нерелевантный (шум),skip,P0-skip
автоматизация бизнеса под ключ,78,popular,автоматизация бизнеса под ключ,automation-processes,commercial_high,Коммерческий (высокий),business-process-automation,P2-landing/ads
внедрение crm битрикс24,71,popular,внедрение битрикс24,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P2-landing/ads
разработка ии агентов для бизнеса,67,popular,разработка ии для бизнеса,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P2-landing/ads
автоматизация документооборота компании,58,popular,автоматизация документооборота,automation-documents,commercial_high,Коммерческий (высокий),business-process-automation,P2-landing/ads
бизнес ассистент это,558,similar,автоматизация коммерческих предложений,automation-sales,commercial_medium,Коммерческий (средний),sales-ai-agent,P2-landing/ads
внедрение битрикс24 во владимире,47,popular,внедрение битрикс24,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P2-landing/ads
внедрение ии агентов в бизнес,46,popular,внедрение ии в бизнес,ai-corporate,commercial_high,Коммерческий (высокий),enterprise-ai-assistant,P2-landing/ads
внедрение технологии ии в бизнес,44,popular,внедрение ии в бизнес,ai-corporate,commercial_high,Коммерческий (высокий),enterprise-ai-assistant,P2-landing/ads
специалист по работе с системами искусственного интеллекта,948,similar,внедрение автоматизации документооборота,other,informational,Информационный,blog,P4-blog
внедрение ии в бизнес под ключ,36,popular,внедрение ии в бизнес,ai-corporate,commercial_high,Коммерческий (высокий),enterprise-ai-assistant,P2-landing/ads
компании по внедрению ии в бизнес,31,popular,внедрение ии в бизнес,ai-corporate,commercial_high,Коммерческий (высокий),enterprise-ai-assistant,P2-landing/ads
настройка устройства воспроизведения по умолчанию,1038,similar,автоматизация обработки заявок,support,irrelevant,Нерелевантный (шум),skip,P0-skip
внедрение и настройка битрикс24,27,popular,внедрение битрикс24,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P2-landing/ads
внедрение ии в бизнес решения,27,popular,внедрение ии в бизнес,ai-corporate,commercial_high,Коммерческий (высокий),enterprise-ai-assistant,P2-landing/ads
услуги внедрение ии в бизнес,24,popular,внедрение ии в бизнес,ai-corporate,commercial_high,Коммерческий (высокий),enterprise-ai-assistant,P2-landing/ads
внедрение crm системы битрикс24,21,popular,внедрение битрикс24,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P2-landing/ads
кейс внедрения ии в бизнес,21,popular,внедрение ии в бизнес,ai-corporate,commercial_high,Коммерческий (высокий),enterprise-ai-assistant,P2-landing/ads
внедрение битрикс24 в компанию,18,popular,внедрение битрикс24,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P2-landing/ads
внедрение битрикс24 портал,17,popular,внедрение битрикс24,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P2-landing/ads
соль внедрение и сопровождение битрикс24,14,popular,внедрение битрикс24,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P2-landing/ads
специалист по внедрению ии в бизнес,14,popular,внедрение ии в бизнес,ai-corporate,commercial_high,Коммерческий (высокий),enterprise-ai-assistant,P2-landing/ads
внедрение битрикс24 цена,13,popular,внедрение битрикс24,other,commercial_high,Коммерческий (высокий),ai-discovery-roadmap,P2-landing/ads
внедрение ии в бизнес без иллюзий,13,popular,внедрение ии в бизнес,ai-corporate,commercial_high,Коммерческий (высокий),enterprise-ai-assistant,P2-landing/ads
автоматизация бизнеса заказать,11,popular,заказать автоматизацию бизнеса,automation-processes,commercial_high,Коммерческий (высокий),business-process-automation,P2-landing/ads
